,Event_Spec,Cruise,Latitude,Longitude,min_start_time,max_end_time,num_row_near,indexs
404,MTR_BCD2001603_1086_4523_3600_SPRING_2,BCD2001603,45.5887,-60.9052,2000-05-31,2003-06-28,7.0,"[404, 1349, 1470, 1480, 1788, 3670, 3915]"
409,MTR_BCD2001603_1006_8334_3600_SPRING_1,BCD2001603,46.2288,-59.9753,1999-05-17,2003-07-15,5.0,"[409, 964, 3573, 3925, 4102]"
410,MTR_BCD2000603_1034_2129_1800_SPRING_1,BCD2000603,46.5258,-60.4045,1999-05-15,2007-12-07,9.0,"[410, 694, 2814, 2903, 3520, 3664, 4062, 4177, 4248]"
411,MTR_BCD2000603_1066_2098_1800_FALL_1,BCD2000603,43.925,-64.785,1999-11-29,2004-05-30,9.0,"[411, 1060, 1854, 2104, 3549, 3627, 3669, 3827, 3846]"
413,MTR_BCD2000603_1252_2086_1800_FALL_10,BCD2000603,43.352,-65.8185,2000-12-16,2010-05-29,10.0,"[413, 809, 814, 840, 1364, 2059, 2836, 2914, 3488, 3933]"
414,MTR_BCD2000603_1252_2086_1800_FALL_14,BCD2000603,43.217,-66.0938,2001-08-01,2004-06-05,8.0,"[414, 607, 889, 1210, 2679, 3860, 3861, 3996]"
416,MTR_BCD2000603_1178_8309_1800_SPRING_1,BCD2000603,43.4473,-65.5102,1999-11-29,2007-02-04,14.0,"[416, 422, 1098, 1120, 1321, 1420, 1448, 1464, 2744, 2753, 3169, 3305, 3315, 3316]"
418,MTR_BCD2000603_1182_8269_1800_FALL_1,BCD2000603,43.6862,-65.861,1999-11-29,2013-09-10,27.0,"[418, 491, 492, 493, 866, 1356, 1393, 1421, 1447, 1921, 2565, 2609, 2659, 3049, 3217, 3240, 3296, 3297, 3306, 3394, 3819, 3869, 3898, 4222, 4224, 4348, 4350]"
421,MTR_BCD2000603_1204_0006_1800_SPRING_1,BCD2000603,44.6067,-63.2763,2000-04-19,2004-06-17,3.0,"[421, 2773, 3537]"
426,MTR_BCD2001603_1256_4505_3600_FALL_SPRING_1,BCD2001603,43.6927,-66.139,2000-12-16,2002-05-29,2.0,"[426, 3392]"
430,MTR_BCD2001603_1238_8267_1800_SPRING_2,BCD2001603,43.6673,-66.0722,2001-03-20,2008-03-31,6.0,"[430, 1187, 1876, 2980, 3147, 4003]"
439,MTR_BCD2001603_1126_8278_3600_FALL_SPRING_11,BCD2001603,43.67,-65.0983,2000-04-05,2003-11-28,6.0,"[439, 613, 1068, 1660, 3839, 3920]"
441,MTR_BCD2001603_1156_2108_3600_FALL_1,BCD2001603,43.4633,-65.4272,2001-11-29,2007-10-01,4.0,"[441, 762, 2649, 2844]"
443,MTR_BCD2001603_1160_2120_1800_SPRING_2,BCD2001603,43.4343,-65.7667,2000-04-12,2007-09-05,9.0,"[443, 1345, 1498, 1591, 1703, 2155, 3511, 3844, 4050]"
445,MTR_BCD2001603_1174_2091_3600_FALL_SPRING_11,BCD2001603,43.1833,-65.9667,2002-04-30,2004-05-26,2.0,"[445, 1719]"
447,MTR_BCD2001603_1174_2091_3600_FALL_SPRING_18,BCD2001603,43.2767,-65.7593,2002-05-24,2007-11-05,3.0,"[447, 2014, 4190]"
448,MTR_BCD2005603_1014_1458_3600_SPRING_1,BCD2005603,46.6195,-60.3457,2000-05-15,2010-07-13,11.0,"[448, 645, 679, 1537, 2132, 2360, 2640, 2961, 3380, 4135, 4341]"
450,MTR_BCD2005603_1226_3093_3600_SPRING_1,BCD2005603,45.7125,-60.1922,2004-05-19,2005-07-22,2.0,"[450, 1610]"
451,MTR_BCD2004603_1032_8172_3600_SPRING_1,BCD2004603,45.2115,-61.199,1999-05-14,2004-06-18,6.0,"[451, 511, 1852, 2030, 3663, 4344]"
462,MTR_BCD2005603_1390_1419_3600_SPRING_1,BCD2005603,44.6867,-62.8563,2004-04-18,2008-06-19,6.0,"[462, 1746, 2443, 2521, 2856, 3357]"
465,MTR_BCD2007603_1334_9057_3600_FALL_19,BCD2007603,43.5942,-66.0045,2006-03-24,2008-05-21,2.0,"[465, 2724]"
469,MTR_BCD2007603_1516_9056_3600_SPRING_1,BCD2007603,45.0237,-61.8945,2007-04-24,2008-06-20,3.0,"[469, 3365, 3609]"
475,MTR_BCD2007603_1514_6527_3600_SPRING_1,BCD2007603,45.5187,-61.1495,2007-05-18,2008-06-30,3.0,"[475, 861, 2588]"
479,MTR_BCD2006603_1336_3113_3600_FALL_22,BCD2006603,43.6173,-66.0495,2003-05-24,2007-05-14,4.0,"[479, 3127, 3800, 3801]"
480,MTR_BCD2006603_1336_3113_3600_FALL_25,BCD2006603,43.5922,-66.0633,2007-02-04,2008-04-28,6.0,"[480, 737, 2011, 2829, 3802, 4004]"
482,MTR_BCD2006603_1464_7183_3600_FALL_1,BCD2006603,43.4987,-66.4657,2006-03-12,2007-05-30,2.0,"[482, 2555]"
483,MTR_BCD2006603_1506_8899_3600_FALL_1,BCD2006603,43.4181,-65.5522,2006-01-03,2007-04-14,4.0,"[483, 555, 1827, 2557]"
489,MTR_BCD2006603_1174_3088_3600_FALL_3,BCD2006603,43.1418,-65.9063,2004-03-15,2006-10-04,3.0,"[489, 533, 1708]"
490,MTR_BCD2006603_1174_3088_3600_FALL_4,BCD2006603,43.145,-65.8933,2005-01-12,2006-12-22,3.0,"[490, 532, 3895]"
496,MTR_BCD2006603_1328_1421_3600_FALL_19,BCD2006603,43.3958,-66.1772,2004-05-22,2007-02-05,2.0,"[496, 2699]"
504,MTR_BCD2007603_1092_3104_3600_FALL_6,BCD2007603,43.8998,-64.765,2004-01-12,2008-04-30,7.0,"[504, 780, 2673, 2676, 2795, 3416, 3854]"
507,MTR_BCD2007603_1174_3111_3600_FALL_4,BCD2007603,43.2017,-65.88,2007-07-12,2009-05-29,5.0,"[306, 507, 822, 1146, 3254]"
508,MTR_BCD2007603_1376_6516_3600_FALL_1,BCD2007603,44.0957,-64.5323,2003-12-21,2009-01-20,6.0,"[508, 824, 1183, 3233, 3634, 4148]"
515,MTR_BCD2001603_1070_4520_3600_SPRING_1,BCD2001603,46.1963,-59.8428,1999-05-15,2001-10-07,3.0,"[515, 2035, 3327]"
520,MTR_BCD2005603_1338_9618_3600_FALL_6,BCD2005603,43.2833,-65.6,2002-08-04,2005-07-12,4.0,"[520, 706, 1005, 1217]"
521,MTR_BCD2005603_1338_9618_3600_FALL_23,BCD2005603,43.35,-65.7,2004-04-24,2008-12-05,4.0,"[521, 1898, 1952, 2861]"
522,MTR_BCD2005603_1348_1423_3600_FALL_1,BCD2005603,43.5267,-65.7617,2002-11-29,2010-05-29,6.0,"[522, 662, 1687, 2605, 3046, 4227]"
523,MTR_BCD2005603_1316_9062_3600_FALL_1,BCD2005603,44.5318,-64.015,2003-05-28,2010-10-03,14.0,"[523, 640, 902, 1207, 2186, 2230, 2370, 2597, 2604, 2930, 3442, 3490, 3655, 4331]"
524,MTR_BCD2005603_1324_1445_3600_FALL_7,BCD2005603,44.5668,-63.3982,2003-11-23,2005-12-12,3.0,"[524, 2968, 3569]"
543,MTR_BCD2006603_1158_3094_3600_SPRING_3,BCD2006603,43.4878,-65.4267,2004-05-24,2012-10-24,3.0,"[543, 618, 3616]"
545,MTR_BCD2006603_1200_9057_3600_SPRING_1,BCD2006603,44.4417,-63.65,2003-04-29,2006-05-29,2.0,"[545, 1170]"
552,MTR_BCD2005603_1454_8336_3600_FALL_21,BCD2005603,43.2333,-65.9667,2004-10-12,2006-10-04,6.0,"[552, 984, 2171, 3051, 3052, 3053]"
553,MTR_BCD2006603_1412_3097_3600_SPRING_4,BCD2006603,44.809,-62.5367,2005-04-19,2008-06-20,7.0,"[553, 1519, 1973, 2522, 2647, 3765, 4150]"
556,MTR_BCD2006603_1476_3102_3600_SPRING_1,BCD2006603,45.0693,-61.8087,2006-04-19,2008-06-20,2.0,"[556, 2586]"
563,MTR_BCD2006603_1402_2105_3600_SPRING_4,BCD2006603,43.3518,-65.5297,2001-06-12,2006-05-24,5.0,"[563, 722, 1984, 3517, 3519]"
571,MTR_BCD2006603_1224_4618_3600_SPRING_10,BCD2006603,45.5707,-60.7813,2006-03-07,2007-05-28,6.0,"[571, 1755, 1908, 1991, 2201, 3771]"
576,MTR_BCD2005603_1308_1416_3600_FALL_4,BCD2005603,44.5827,-63.5055,2003-05-16,2007-04-27,7.0,"[576, 577, 1196, 1246, 1247, 2527, 3652]"
581,MTR_BCD2005603_1090_8316_3600_FALL_2,BCD2005603,43.7,-65.1167,1999-03-12,2006-05-28,9.0,"[393, 581, 1075, 1731, 3010, 3319, 3368, 3830, 3838]"
582,MTR_BCD2006603_1332_8882_3600_FALL_8,BCD2006603,43.15,-66.3833,2002-05-12,2006-12-18,3.0,"[582, 1280, 4125]"
584,MTR_BCD2006603_1332_8882_3600_FALL_29,BCD2006603,43.2,-66.2,2004-11-30,2007-05-18,3.0,"[584, 1394, 3751]"
585,MTR_BCD2006603_1332_8882_3600_FALL_30,BCD2006603,43.1167,-66.0833,2003-12-17,2007-05-23,2.0,"[585, 4198]"
592,MTR_BCD2006603_1336_3113_3600_FALL_17,BCD2006603,43.5702,-66.0747,2004-03-29,2008-07-05,4.0,"[592, 1918, 2429, 3564]"
594,MTR_BCD2007603_1340_3108_3600_SPRING_6,BCD2007603,43.3,-65.7167,2005-02-05,2007-05-30,4.0,"[594, 1899, 2301, 4219]"
601,MTR_BCD2004603_1024_9066_3600_SPRING_1,BCD2004603,44.4667,-63.5833,1999-04-29,2010-05-31,19.0,"[601, 693, 819, 835, 922, 1538, 1785, 1833, 2021, 2062, 2092, 2506, 2642, 2864, 3382, 3762, 3825, 3826, 4306]"
610,MTR_BCD2003603_1160_9060_3600_FALL_2,BCD2003603,43.3807,-65.8362,2004-02-01,2005-03-28,6.0,"[610, 3214, 3215, 3749, 3821, 4221]"
614,MTR_BCD2004603_1308_7181_3600_FALL_14,BCD2004603,44.5613,-63.477,2004-05-05,2009-03-01,9.0,"[272, 614, 652, 759, 2082, 2083, 2612, 2877, 4118]"
615,MTR_BCD2004603_1124_8354_3600_SPRING_1,BCD2004603,43.6,-65.3117,2001-11-26,2004-05-30,5.0,"[615, 673, 1533, 2873, 4338]"
616,MTR_BCD2004603_1142_8176_3600_FALL_1,BCD2004603,44.5981,-63.5505,1999-11-29,2010-05-30,22.0,"[616, 675, 788, 821, 883, 1494, 1654, 1706, 1831, 1859, 1948, 2419, 2472, 2626, 2645, 3085, 3745, 3842, 4044, 4045, 4212, 4322]"
619,MTR_BCD2004603_1158_8883_3600_FALL_3,BCD2004603,43.4673,-65.3988,1999-11-29,2006-12-28,17.0,"[384, 619, 764, 915, 1173, 1206, 1381, 1655, 1665, 2118, 2957, 3199, 3510, 3866, 3981, 4047, 4195]"
620,MTR_BCD2004603_1308_7181_3600_FALL_5,BCD2004603,44.5675,-63.4908,2003-05-24,2009-03-01,10.0,"[620, 1808, 1998, 2083, 2120, 2612, 3080, 4035, 4036, 4213]"
622,MTR_BCD2003603_1174_8893_3600_FALL_1,BCD2003603,43.22,-65.8492,2003-05-12,2008-01-02,3.0,"[622, 738, 2121]"
625,MTR_BCD2003603_1192_8328_3600_FALL_1,BCD2003603,44.0952,-66.3207,2003-11-24,2005-02-28,3.0,"[625, 3112, 3230]"
627,MTR_BCD2003603_1372_4510_3600_FALL_1,BCD2003603,44.3275,-66.158,2000-11-29,2003-08-12,3.0,"[627, 1575, 3936]"
631,MTR_BCD2003603_1334_9065_3600_FALL_25,BCD2003603,43.5399,-66.0349,2004-04-23,2007-10-05,5.0,"[631, 3812, 3813, 3890, 3891]"
632,MTR_BCD2003603_1334_9065_3600_FALL_26,BCD2003603,43.5407,-66.0508,2004-03-05,2008-05-28,8.0,"[632, 893, 1640, 1686, 1716, 1717, 3891, 3959]"
636,MTR_BCD2003603_1328_8899_3600_FALL_19,BCD2003603,43.3825,-66.1733,2002-11-29,2007-12-26,8.0,"[636, 896, 1771, 2401, 2926, 4120, 4173, 4180]"
643,MTR_BCD2003603_1002_9072_3600_SPRING_1,BCD2003603,46.2665,-60.142,1999-05-17,2003-07-14,2.0,"[643, 3095]"
647,MTR_BCD2003603_1070_9050_3600_SPRING_1,BCD2003603,46.1962,-59.866,1999-05-15,2010-07-13,8.0,"[647, 1548, 2035, 2351, 2548, 3156, 3460, 3521]"
648,MTR_BCD2003603_1228_3748_3600_SPRING_1,BCD2003603,44.45,-64.1167,2000-11-28,2006-05-31,11.0,"[648, 651, 1040, 1492, 1707, 2277, 2731, 2763, 3138, 3556, 3739]"
654,MTR_BCD2003603_1318_8178_3600_FALL_1,BCD2003603,44.0397,-64.6763,2002-04-12,2006-05-30,5.0,"[654, 1404, 1815, 1849, 3675]"
655,MTR_BCD2003603_1322_8174_3600_FALL_2,BCD2003603,44.2417,-64.2925,2002-11-25,2004-05-29,7.0,"[655, 903, 976, 1166, 2895, 2990, 3972]"
658,MTR_BCD2003603_1370_4524_3600_FALL_1,BCD2003603,44.0517,-64.5825,2003-11-23,2010-05-31,12.0,"[658, 760, 816, 2339, 2541, 2552, 2941, 3070, 3232, 3355, 3621, 3984]"
661,MTR_BCD2002603_1344_8281_3600_FALL_SPRING_6,BCD2002603,44.2355,-66.348,2002-09-12,2003-12-05,2.0,"[661, 1803]"
666,MTR_BCD2002603_1340_8282_3600_FALL_SPRING_8,BCD2002603,43.2,-66.0833,2002-05-12,2004-05-28,5.0,"[666, 1189, 1765, 3647, 3874]"
669,MTR_BCD2003603_1308_4564_3600_SPRING_5,BCD2003603,44.5957,-63.489,2003-05-15,2007-04-24,7.0,"[669, 1197, 1884, 2205, 3337, 3653, 4025]"
670,MTR_BCD2002603_1340_8282_3600_FALL_SPRING_1,BCD2002603,43.35,-65.8333,2002-11-27,2010-05-29,3.0,"[670, 814, 840]"
671,MTR_BCD2003603_1352_8887_1800_SPRING_1,BCD2003603,46.0978,-59.8193,2003-05-15,2011-07-14,7.0,"[671, 1607, 2135, 2581, 3444, 3678, 4162]"
672,MTR_BCD2003603_1112_9057_3600_SPRING_1,BCD2003603,46.2333,-60.0167,2003-05-15,2011-07-13,3.0,"[672, 3438, 4354]"
