,Event_Spec,Cruise,Latitude,Longitude,min_start_time,max_end_time,num_row_near,indexs
171,MTR_BCD2005603_1402_2105_3600_FALL_1,BCD2005603,43.3907,-65.499,1999-11-29,2005-12-18,4.0,"[171, 372, 1263, 3512]"
174,MTR_BCD2006603_1104_2100_3600_SPRING_1,BCD2006603,43.2917,-65.895,2000-03-27,2006-05-31,5.0,"[174, 542, 1407, 1473, 4281]"
176,MTR_BCD2006603_1128_1437_3600_SPRING_1,BCD2006603,43.75,-64.9083,2003-10-12,2008-05-14,4.0,"[176, 1857, 2549, 3581]"
177,MTR_BCD2006603_1132_4621_3600_SPRING_1,BCD2006603,46.2798,-60.2297,2004-08-06,2007-11-07,5.0,"[177, 849, 1124, 2785, 2816]"
178,MTR_BCD2006603_1158_3094_3600_SPRING_1,BCD2006603,43.4723,-65.3813,2003-11-23,2006-04-17,7.0,"[178, 1035, 2974, 3086, 3413, 3852, 3866]"
179,MTR_BCD2006603_1160_1457_3600_SPRING_2,BCD2006603,43.3917,-65.8333,2000-01-12,2006-05-17,4.0,"[179, 348, 2161, 3931]"
183,MTR_BCD2006603_1098_3112_3600_SPRING_1,BCD2006603,44.8,-62.655,2005-04-19,2007-06-22,5.0,"[183, 461, 850, 3704, 3798]"
184,MTR_BCD2006603_1000_3115_3600_SPRING_1,BCD2006603,44.335,-64.2483,1999-01-05,2007-05-30,14.0,"[184, 699, 756, 1039, 1264, 1411, 1534, 1536, 1692, 2797, 2934, 3589, 4307, 4342]"
187,MTR_BCD2006603_1052_1512_3600_SPRING_3,BCD2006603,44.415,-64.297,1999-04-24,2010-05-31,21.0,"[187, 292, 513, 695, 776, 812, 837, 956, 1091, 2001, 2270, 2363, 2364, 2904, 3082, 3250, 3415, 3625, 3763, 4100, 4287]"
189,MTR_BCD2006603_1060_4522_3600_SPRING_1,BCD2006603,43.375,-65.705,2005-07-12,2006-11-01,4.0,"[189, 2283, 3083, 3781]"
190,MTR_BCD2006603_1068_7189_3600_SPRING_1,BCD2006603,44.5117,-64.24,1999-03-12,2007-04-01,7.0,"[190, 1653, 1762, 2023, 3326, 4033, 4179]"
193,MTR_BCD2005603_1454_8336_3600_FALL_19,BCD2005603,43.25,-65.9667,2003-11-27,2006-12-04,2.0,"[193, 1715]"
197,MTR_BCD2006603_1414_8354_3600_SPRING_3,BCD2006603,44.8723,-62.323,2005-04-19,2007-06-22,6.0,"[197, 856, 2859, 3058, 4019, 4081]"
198,MTR_BCD2006603_1448_1442_3600_SPRING_1,BCD2006603,43.9567,-64.6667,2005-11-28,2007-05-30,5.0,"[198, 540, 1927, 2533, 3608]"
205,MTR_BCD2006603_1332_8172_3600_SPRING_2,BCD2006603,43.1167,-65.95,2003-09-12,2006-05-05,5.0,"[205, 623, 1236, 3742, 3757]"
210,MTR_BCD2006603_1212_8178_3600_SPRING_1,BCD2006603,45.5227,-60.959,2000-10-05,2008-06-30,17.0,"[210, 239, 435, 676, 716, 1297, 1299, 1301, 1427, 2387, 3135, 3136, 3411, 3939, 3954, 4092, 4154]"
213,MTR_BCD2006603_1294_3110_3600_SPRING_1,BCD2006603,45.171,-61.3483,2002-04-19,2006-06-20,3.0,"[213, 3105, 4000]"
214,MTR_BCD2006603_1308_1416_3600_SPRING_5,BCD2006603,44.571,-63.4745,2004-02-12,2010-05-31,13.0,"[214, 272, 1679, 1758, 2083, 2120, 2265, 2421, 2496, 2603, 2612, 2923, 4213]"
216,MTR_BCD2005603_1092_9051_3600_FALL_3,BCD2005603,43.8782,-64.7663,1999-11-29,2010-05-31,47.0,"[216, 217, 357, 405, 406, 603, 604, 612, 688, 782, 913, 1036, 1037, 1324, 1379, 1453, 1471, 1472, 1699, 2003, 2027, 2065, 2105, 2214, 2215, 2240, 2381, 2418, 2475, 2509, 2601, 2672, 2674, 2796, 2798, 2799, 2848, 3015, 3094, 3225, 3251, 3252, 3436, 3831, 4101, 4138, 4335]"
218,MTR_BCD2005603_1092_9051_3600_FALL_6,BCD2005603,43.8667,-64.7667,2004-09-05,2008-12-05,7.0,"[218, 1242, 2215, 2380, 2794, 3224, 4139]"
224,MTR_BCD2006603_1332_8882_3600_FALL_31,BCD2006603,43.0667,-66.0,2004-12-30,2007-05-31,2.0,"[224, 1965]"
225,MTR_BCD2006603_1334_8891_3600_FALL_1,BCD2006603,43.5841,-66.4344,2004-01-12,2007-05-30,8.0,"[225, 811, 1229, 1231, 1233, 1957, 3209, 3753]"
231,MTR_BCD2007603_1498_6517_3600_SPRING_1,BCD2007603,45.6117,-60.5605,2006-05-22,2008-07-21,3.0,"[231, 2711, 3031]"
232,MTR_BCD2007603_1517_7643_3600_SPRING_1,BCD2007603,45.2035,-61.1125,1999-04-29,2010-06-30,11.0,"[232, 846, 862, 947, 1268, 2308, 3037, 3502, 3795, 4136, 4251]"
238,MTR_BCD2007603_1488_2126_3600_SPRING_1,BCD2007603,45.7667,-60.1167,2007-05-18,2008-07-16,3.0,"[238, 2397, 2654]"
240,MTR_BCD2006603_1336_3113_3600_FALL_18,BCD2006603,43.6078,-66.048,2003-05-24,2007-05-05,3.0,"[240, 3127, 3801]"
241,MTR_BCD2006603_1336_3113_3600_FALL_24,BCD2006603,43.5925,-66.0813,2007-05-25,2008-07-04,3.0,"[241, 2428, 3265]"
243,MTR_BCD2006603_1340_3108_3600_FALL_2,BCD2006603,43.3167,-65.9,1999-04-26,2006-01-12,4.0,"[243, 971, 1568, 1953]"
244,MTR_BCD2006603_1340_3108_3600_FALL_3,BCD2006603,43.3167,-65.8833,2004-06-12,2007-05-30,4.0,"[244, 1569, 3045, 3166]"
246,MTR_BCD2006603_1422_1457_3600_FALL_1,BCD2006603,44.2633,-66.138,2006-11-27,2009-05-29,8.0,"[246, 2072, 2253, 2257, 2648, 2741, 2918, 3492]"
250,MTR_BCD2006603_1510_3107_3600_FALL_10,BCD2006603,43.422,-65.7117,1999-04-21,2010-05-29,17.0,"[250, 484, 514, 831, 860, 1916, 1917, 2403, 2404, 2545, 2579, 3098, 3497, 3886, 3887, 3889, 4316]"
252,MTR_BCD2007603_1196_8319_3600_SPRING_1,BCD2007603,44.4705,-66.0888,2002-04-24,2010-05-28,15.0,"[252, 1006, 1375, 1645, 1967, 2386, 2407, 2441, 2492, 2771, 2880, 2912, 3427, 3464, 4165]"
255,MTR_BCD2006603_1162_4506_3600_FALL_8,BCD2006603,43.46,-65.7833,2000-11-27,2007-05-30,6.0,"[255, 347, 488, 2406, 3755, 4324]"
257,MTR_BCD2006603_1202_3109_3600_FALL_1,BCD2006603,43.7167,-66.2275,2000-11-29,2007-05-31,3.0,"[257, 1114, 3937]"
258,MTR_BCD2006603_1252_3106_3600_FALL_1,BCD2006603,43.3437,-65.7986,2005-11-29,2006-12-15,5.0,"[258, 2157, 2727, 2836, 3695]"
260,MTR_BCD2006603_1324_1445_3600_SPRING_2,BCD2006603,44.5683,-63.4615,2002-11-24,2010-05-31,28.0,"[260, 272, 281, 403, 566, 578, 652, 799, 800, 917, 1385, 1677, 1758, 1925, 2095, 2265, 2413, 2421, 2496, 2529, 2603, 2923, 2924, 2931, 2991, 3081, 3107, 4028]"
261,MTR_BCD2006603_1324_1445_3600_SPRING_3,BCD2006603,44.5687,-63.4453,2003-04-29,2010-05-30,33.0,"[261, 281, 314, 498, 565, 747, 748, 800, 1079, 1627, 1628, 1750, 1759, 2098, 2373, 2394, 2413, 2528, 2539, 2540, 2577, 2632, 2718, 2924, 2931, 2991, 3236, 3366, 3558, 3724, 3983, 4027, 4168]"
263,MTR_BCD2006603_1406_1419_3600_FALL_1,BCD2006603,44.6,-64.0167,2004-11-30,2007-05-30,7.0,"[263, 402, 536, 1776, 2100, 2195, 3604]"
264,MTR_BCD2006603_1418_9057_3600_FALL_4,BCD2006603,43.4028,-65.4033,2005-11-30,2007-05-31,3.0,"[264, 2953, 3184]"
267,MTR_BCD2007603_1092_3104_3600_FALL_10,BCD2007603,43.8828,-64.75,2004-10-04,2008-05-17,9.0,"[267, 604, 779, 781, 1157, 1379, 2675, 2799, 3016]"
268,MTR_BCD2007603_1130_8173_3600_FALL_1,BCD2007603,43.731,-64.9047,2004-11-30,2008-01-27,3.0,"[268, 2685, 3600]"
269,MTR_BCD2007603_1174_3111_3600_FALL_1,BCD2007603,43.2122,-65.8782,2007-02-12,2008-03-19,4.0,"[269, 306, 2911, 4253]"
271,MTR_BCD2007603_1200_3103_3600_FALL_1,BCD2007603,44.4547,-63.6453,1999-11-29,2008-10-31,17.0,"[271, 290, 714, 864, 1211, 1244, 1442, 1577, 1860, 2221, 2512, 2513, 2876, 3824, 4022, 4090, 4310]"
273,MTR_BCD2007603_1308_9051_3600_FALL_6,BCD2007603,44.5713,-63.5032,2003-05-16,2007-06-12,6.0,"[273, 1998, 2730, 3652, 4035, 4036]"
276,MTR_BCD2007603_1448_8178_3600_FALL_2,BCD2007603,43.9545,-64.7027,2003-11-28,2008-01-27,5.0,"[276, 1797, 2075, 2554, 3583]"
277,MTR_BCD2007603_1460_7186_3600_FALL_1,BCD2007603,43.3,-65.8167,2005-11-28,2008-01-31,3.0,"[277, 2169, 4255]"
278,MTR_BCD2007603_1464_9053_3600_FALL_2,BCD2007603,43.6762,-66.3603,2002-03-13,2008-04-01,2.0,"[278, 3952]"
282,MTR_BCD2007603_1324_4506_3600_FALL_9,BCD2007603,44.555,-63.4488,2002-11-24,2007-12-21,10.0,"[282, 621, 747, 1179, 1750, 3107, 3336, 3338, 4026, 4027]"
283,MTR_BCD2007603_1328_1446_3600_FALL_5,BCD2007603,43.3767,-66.1883,2006-11-27,2007-12-19,3.0,"[283, 2401, 2926]"
284,MTR_BCD2007603_1474_7179_3600_SPRING_1,BCD2007603,44.7167,-62.8167,2006-04-21,2007-06-22,3.0,"[284, 3062, 3238]"
285,MTR_BCD2006603_1508_9065_3600_FALL_2,BCD2006603,43.6652,-65.2278,2004-11-30,2007-10-02,8.0,"[285, 356, 755, 763, 2524, 2534, 2535, 2671]"
286,MTR_BCD2006603_1508_9065_3600_FALL_6,BCD2006603,43.654,-65.2213,2006-07-12,2009-01-16,10.0,"[286, 763, 770, 2534, 2535, 2591, 2619, 2657, 3185, 4020]"
287,MTR_BCD2007603_1116_4101_3600_SPRING_1,BCD2007603,43.6703,-65.1592,2003-04-25,2009-01-21,9.0,"[287, 293, 505, 1529, 2437, 2438, 2607, 3721, 4141]"
288,MTR_BCD2007603_1310_9602_3600_SPRING_1,BCD2007603,44.4833,-63.85,2004-11-30,2010-06-01,18.0,"[170, 288, 318, 499, 509, 825, 1774, 2099, 2206, 2444, 2498, 2952, 3043, 3358, 3420, 3424, 3428, 3603]"
289,MTR_BCD2006603_1158_4512_3600_FALL_6,BCD2006603,43.4728,-65.4087,1999-11-29,2007-07-02,14.0,"[289, 384, 915, 1173, 1206, 1344, 1655, 1665, 2957, 3199, 3281, 3555, 3981, 4195]"
294,MTR_BCD2006603_1128_3762_3600_FALL_1,BCD2006603,43.815,-64.93,2006-11-27,2010-05-30,3.0,"[294, 2624, 3599]"
295,MTR_BCD2006603_1144_3098_3600_FALL_1,BCD2006603,44.4517,-63.675,1999-03-05,2007-05-29,5.0,"[295, 1265, 2018, 3096, 3783]"
296,MTR_BCD2006603_1308_4620_3600_FALL_8,BCD2006603,44.5957,-63.4682,2003-05-17,2008-05-30,13.0,"[296, 757, 797, 1198, 2204, 2389, 2537, 2929, 3282, 3367, 4002, 4037, 4158]"
297,MTR_BCD2006603_1308_4620_3600_FALL_9,BCD2006603,44.5792,-63.4682,2004-03-05,2008-06-05,29.0,"[297, 403, 758, 799, 916, 1476, 1678, 1679, 1758, 1861, 2096, 2199, 2226, 2265, 2393, 2421, 2515, 2529, 2578, 2923, 3022, 3023, 3072, 3334, 3566, 3720, 3909, 3982, 4159]"
302,MTR_BCD2008603_1046_2094_3600_SPRING_2,BCD2008603,43.7018,-65.2168,2000-11-29,2010-05-31,14.0,"[79, 302, 330, 775, 2211, 2212, 2348, 2378, 2847, 3486, 3570, 3582, 3906, 4249]"
303,MTR_BCD2008603_1068_3091_3600_SPRING_1,BCD2008603,44.5,-64.2333,2003-11-22,2010-06-01,6.0,"[303, 331, 2064, 2507, 3426, 3550]"
305,MTR_BCD2008603_1174_3111_3600_SPRING_1,BCD2008603,43.2068,-65.8682,2007-02-12,2009-05-29,4.0,"[305, 822, 2385, 2911]"
309,MTR_BCD2008603_1210_4614_3600_SPRING_1,BCD2008603,45.3,-60.9467,2005-05-18,2008-06-28,2.0,"[309, 4073]"
